Resident ID,Verified,Resident Duration,Rating,Review Date,Review Text,Sentiment,Sentiment Numeric,Compound Score
15,Verified,2015 - 2018,3.0,12/5/2018,"Not a great value for the price. The screening process for tenants seems non-existent, which is not good in a high-end apartment community. The interior of the units is amazing, but the exterior spaces are not.",Negative,0,-0.2425
16,Verified,2017 - 2018,3.3,11/29/2018,"Apartments are super nice inside and energy efficient. The pool and spa area is nice, but the landscaping needs improvement. Weeds dominate over grass, and the entire complex could use re-sodding.",Positive,2,0.8735
17,Verified,2018-2024,5.0,11/26/2018,The staff is super friendly and helpful in making sure you love your new home. The location is amazing and close to everything. The community is clean and gorgeous with a jacuzzi and pool.,Positive,2,0.9796
18,Verified,2018-2025,4.0,11/9/2018,"Clean maintenance, good clubhouse. Clean maintenance, good clubhouse. Clean maintenance, good clubhouse.",Positive,2,0.9413
19,Verified,2018-2025,3.8,11/4/2018,"So far so good. The people at the office are very friendly and helpful so far, and the neighbors are friendly as well. Parking is a little bit of trouble but it's a nice community overall.",Positive,2,0.8908
20,Resident,2018-2025,5.0,10/30/2018,"The staff is extremely friendly, proficient, and work to create a community atmosphere with events geared toward bringing everyone together. The staff provides additional services on-premise like notary and local business partnerships.",Positive,2,0.796
21,Verified,2018 - 2019,4.5,7/26/2019,Good. Nicely maintained. Maintenance issues are resolved quickly. Community is clean with nice amenities like tennis courts and a walking area.,Positive,2,0.926
22,Verified,2018-2025,4.8,10/25/2018,"Safe and secure. Well-maintained buildings with great amenities. The only downside is extremely weak cell signal strength, which is a safety concern in case of emergencies.",Positive,2,0.8809
23,Verified,2015 - 2018,3.3,10/22/2018,"I like the community, but I would like the management that was here when I first moved in. The current management is missing the customer service aspect. They also take too long on common area repairs.",Positive,2,0.296
24,Verified,2018-2025,4.8,10/19/2018,Awesome staff. Tina was amazing in helping our family at short notice. Pool area and grounds are beautiful. Parking can be something of an issue when coming home later in evening. Gated community so we feel safe.,Positive,2,0.9529
25,Verified,2018 - 2019,4.8,3/26/2019,The Sedona is beautiful. It has a lovely club house that includes a pool with a waterfall and a Cabana that a resident can rent it out for the day. The pool area has 2 grills that you can use. There is a gym that you can use. The community also has a huge pond towards the back of the Sedona.,Positive,2,0.875
26,Verified,2021 - 2022,5.0,8/23/2022,Totally appreciate the great staff here at The Sedona. Claudia is great and diligent. The staff tries to accommodate to residents needs. Community activities for every season of the year. I absolutely recommend this apartment complex.,Positive,2,0.9384
27,Verified,2022-2025,4.7,9/8/2022,"The move into the Sedona was one of the best experience I had. The staff was respectful, and helpful. Everything is closed to my apartment and convenient to get to like the mail box, gym, pool, club house. The building is very clean and pretty.",Positive,2,0.9581
28,Verified,2021 - 2022,5.0,9/3/2022,I love living here at Sedona. Staff and the appearance of the community is always great. Costumer service is always on point. My apartment is so nice and comfy. I plan to renew my lease and stay here for the longest;),Positive,2,0.9172
29,Verified,2021 - 2022,5.0,8/2/2022,Good...............nice.................................... like it nice team................................... ...........................................................,Positive,2,0.6486
30,Verified,2020 - 2022,4.8,7/13/2022,"Clean and quiet community with nice amenities. Improvements to and maintenance of the property are on going and I feel add value to the experience living at The Sedona. There is a dog park on property - it is an open grassy area with a water fountain, bench and space to wash your dog outside. The pool is large with ample seating options.",Positive,2,0.8481
31,Verified,2021 - 2022,5.0,6/25/2022,Nice community to live very quiet the staff is very close to everything I feel very happy with me decision to rent on this property I am very grateful with all the great work of the people working on this community. Thank you.,Positive,2,0.9492
32,Verified,2020 - 2022,4.7,6/23/2022,All good I really like it I am not there to much but all has been good and any issues I have addressed. The front 2 office ladies have been great I just love Claudia. I have had a few issues with the maintenance that is all,Positive,2,0.9645
33,Verified,2022-2025,5.0,6/14/2022,This complex has a seamless and Easy application process. Staff was extremely kind and helpful. I would recommend this apartment complex to anyone looking in the area. The apartments are clean and the property is well taken care of.,Positive,2,0.9593
34,Verified,2013 - 2022,5.0,5/14/2022,"Great location , very peaceful , not far from beaches or malls , tennis courts beautiful pool , grilling area , great staff , movie theatre, great clubhouse with pool tables, social events , restaurants close to International Mall , Citrus Park , Westshore and Countryside . AMC movie theaters nearby Oldsmar , Citrus Park Countryside .",Positive,2,0.967
35,Verified,2020 - 2022,4.3,5/11/2022,Very nice quiet apartment. The small gym is nice and not overly crowded. The walking pond is a nice feature. The past two years living here has been very good. I would recommend a friend to live at the apartment.,Positive,2,0.9548
36,Verified,2020 - 2022,4.7,5/4/2022,"Maintenance has always been amazing. They are always on top of the requests that have been submitted. Overall the community and staff are very outgoing and friendly. I feel safe living alone here and I love how close I am to some many grocery markets, restaurants, and shopping centers.",Positive,2,0.949
37,Verified,2016 - 2022,5.0,4/30/2022,Awesome place to live. Feels like a resort. I been here for a few years now and hard to find such a big one bedroom like they have here. It's almost 1000 squ ft. The new property manager Jeanine she is so helpful.,Positive,2,0.9065
38,Verified,2020 - 2022,5.0,3/29/2022,"It's a great, clean, and very safe community to live in. The maintenance team is always quick to respond to issues I may have within my unit. The staff is very friendly and helpful and the amenities offered are a plus.",Positive,2,0.9481
39,Verified,2022-2025,5.0,3/22/2022,Excelente muy buena atención de parte del personal las instalaciones muy limpias y organizado y los departamentos están cómodos una comunidad muy bonita y tranquila. Cuando visite el sitio de una escogí vivir en el,Neutral,1,0.0
40,Verified,2019 - 2022,3.8,3/18/2022,"Claudia in the office is very responsive and able to resolve issues as they arise. However, beyond that those issues out of her hands lag in getting repaired or resolved. Garbage and dog droppings are a constant battle to keep in control.",Positive,2,0.2716
41,Verified,2017 - 2022,4.3,3/7/2022,The office staff and maintenance staff are friendly and helpful. They are very professional in trying to meet the needs of their renters. The location of The Sedona is awesome! I would recommend choosing this complex to others looking for an apartment.,Positive,2,0.9168
42,Verified,2020 - 2021,2.8,4/20/2021,"When I first moved to The Sedona in June 2020, Heidi Ricardo was the manager. Claudia did my tour and completed my lease. My move-in day experience was the ABSOLUTE WORST EXPERIENCE I have ever had. The apartment was severely infested with multiple breeds and generations of roaches. The property management offered little support, and maintenance was unresponsive at times.",Negative,0,-0.7526
43,Verified,2016-2025,4.8,10/12/2016,"The apartments at the Sedona are absolutely beautiful. I love the chef inspired kitchen design. In addition, the place is kept up very well and the staff is extremely friendly and willing to help. I feel like I'm living in a resort! I am so happy that I chose the Sedona as my home.",Positive,2,0.9817
44,Verified,2016-2025,1.7,10/27/2016,"Problems with pest control keep happening. First was spiders coming 2-3 times a week, now millipedes. Pest control has come out as expected and on time. However, millipedes still everywhere. Known issue with model apartment next door in past.",Negative,0,-0.4019
45,Verified,2015 - 2016,4.8,10/4/2016,"The complex is beautiful. The amenities spectacular and the staff is always helpful. The grounds are beautiful and I feel like I live at a resort. Convenient to everything including shopping, airport, restaurants etc. Can't imagine living anywhere else.",Positive,2,0.9201
46,Verified,2016-2025,4.5,8/8/2016,"If you are sensitive to noise, pick the third floor. It may be the only negative aspect. Staff is fantastic. Apartment quality superb. Clean and safe. Parking is tight in areas. Close to Publix, Target, RaceTrac, Starbucks. Great walking track.",Positive,2,0.9287
47,Verified,2016-2025,4.5,8/8/2016,Love my apartment and the office staff. Parking is bad at night in the front and side buildings but it's just a short walk to your home. The interiors are new and beautiful. Top floor has vaulted ceilings. My Labrador loves it here with all the trails and bark park!,Positive,2,0.9354
48,Verified,2016-2025,3.5,8/8/2016,The Sedona Apartments are small but nice the biggest complaint that I have is there is NO PARKING. That is not acceptable if I knew before I signed the lease I would have never accepted the lease. Each Unit should be assigned a parking space. I feel that the community should provide satisfaction on all levels to each tenant.,Negative,0,-0.4241
49,Verified,2014 - 2016,3.3,7/1/2016,"It went from awesome .... 'oh well' I hope you get enough people that tell you what they're actually saying about the Sedona. The apartments are nice, but the staff Doesn't address the -------- that goes on around here except to residents that aren't doing the damage.",Positive,2,0.8553
50,Resident,2015 - 2016,5.0,5/22/2016,"I just want to say how much my husband and I have enjoyed living here at the Sedona. The staff, especially Jasmine, has always been amazing to us and just has always gone above and beyond to be accommodating and make us feel as at home. I would totally recommend living here to anyone!",Positive,2,0.8881
51,Verified,2019-2025,5.0,9/7/2019,Clean secure apartments in a great location with a wonderful staff always ready to assist you. Grounds are well kept and overall it's an extremely peaceful facility.,Positive,2,0.9638
52,Verified,2019 - 2020,4.5,2/26/2020,Just excellent people at the Main Office. Claudia & Enrique are very customer/tenant satisfaction oriented staff members.,Positive,2,0.7832
53,Resident,2019-2025,5.0,8/20/2019,"I have never written a review before, but I just had to write one for The Sedona because the customer service has been amazing.",Positive,2,0.7351
54,Verified,2019-2025,5.0,8/19/2019,So far the experience has been great and the residents along with the staff have been inviting and very helpful during the moving process.,Positive,2,0.8588
55,Verified,2021 - 2022,5.0,8/23/2022,Totally appreciate the great staff here at The Sedona. Claudia is great and diligent. The staff tries to accommodate to residents needs. Community activities for every season of the year.,Positive,2,0.9139
56,Verified,2022-2025,4.7,9/8/2022,"The move into the Sedona was one of the best experience I had. The staff was respectful, and helpful. Everything is close to my apartment and convenient to get to.",Positive,2,0.875
57,Verified,2021 - 2022,5.0,9/3/2022,I love living here at Sedona. Staff and the appearance of the community is always great. Customer service is always on point. My apartment is so nice and comfy.,Positive,2,0.9172
58,Verified,2021-2025,5.0,9/25/2021,"It is an excellent housing complex with all the comforts, it looks like a Resort and the Office staff and maintenance with excellent customer service.",Positive,2,0.9186
59,Verified,2019 - 2021,4.7,9/18/2021,"Great community overall: great looking/feeling apartments, well kept, and maintenance/management are spectacularly responsive.",Positive,2,0.9153
60,Verified,2020 - 2021,4.8,9/11/2021,"Not enough parking lot, neighbor always make loud noise.",Neutral,1,0.0
61,Verified,2020 - 2021,4.3,8/31/2021,Even during covid it was simple to set up an appointment to virtually view the apartment.,Neutral,1,0.0
62,Verified,2018 - 2021,2.2,8/12/2021,"It is not what it should be for the cost. There is no common area available after dark, and the dog waste is out of control.",Negative,0,-0.6124
63,Verified,2017 - 2021,2.2,8/10/2021,"I hate this place, it is not the same one when I moved in. They change managers all the time.",Negative,0,-0.5719
64,Verified,2019 - 2021,4.5,7/27/2021,Overall I have enjoyed my time at Sedona. The size and layout of the apartment is far better than any other community.,Positive,2,0.7351
65,Verified,2021-2025,4.3,7/19/2021,A very nice property with amenities. Well designed kitchen with lots of storage.,Positive,2,0.6361
66,Verified,2021-2025,5.0,5/27/2021,"It's a beautiful community, the staff and maintenance are top notch and the community is impeccably maintained!",Positive,2,0.7177
67,Verified,2020 - 2021,2.8,4/20/2021,"When I first moved to The Sedona in June 2020, my experience was the absolute worst. Severe infestation issues.",Negative,0,-0.7717
68,Verified,2020 - 2021,4.7,4/8/2021,We have been very happy and love living at The Sedona.,Positive,2,0.8576
69,Verified,2021-2025,4.7,3/11/2021,"Love the community so far. Apartment is wonderful, and the amenities are a huge plus.",Positive,2,0.8807
70,Verified,2018 - 2021,3.2,2/27/2021,"Security of gates always being open, pool gates not working, parking is terrible.",Negative,0,-0.1779
71,Verified,2020 - 2021,3.5,2/25/2021,"The community is nice, but I had issues with parking and car safety.",Positive,2,0.6808
72,Verified,2019 - 2021,2.5,2/10/2021,"The property is beautiful, but maintenance is a concern, including toilet water rings and silverfish issues.",Positive,2,0.3506
73,Verified,2014 - 2021,4.5,1/19/2021,"Great location, courteous staff, and well-maintained common grounds.",Positive,2,0.8126
74,Verified,2018 - 2020,4.5,3/30/2020,Everything was great until noisy neighbors moved in upstairs.,Positive,2,0.5267
75,Verified,2019 - 2020,5.0,1/14/2020,"Love the staff, very friendly and accommodating.",Positive,2,0.8268
76,Verified,2019 - 2020,4.17,1/1/2020,Nice place but landscaping is disappointing for the cost.,Negative,0,-0.5267
77,Verified,2019 - 2020,4.3,4/1/2020,The staff on site are friendly and always willing to help.,Positive,2,0.7096
78,Verified,2019-2025,4.5,10/28/2019,"First experience living in an apartment, and it's been great.",Positive,2,0.6249
79,Verified,2019- 2024,5.0,8/23/2022,Totally appreciate the great staff here at The Sedona. Claudia is great and diligent. The staff tries to accommodate to residents needs. Community activities for every season of the year. I absolutely recommend this apartment complex.,Positive,2,0.9384
80,Verified,2019 - 2024,1.3,9/28/2024,"Resident: Sedona Apartments was a worst experience I had ever had. The walls are so thin I can hear people fighting and people running across the floor all day and all night. This was nothing but stress for me. I could not sleep, I could never enjoy my evening. I work from home. I talked to an old woman with brown hair in the office about my complaints and nothing was ever done for many months. Ignored completely about my complaints. They just don’t care. I was greatly disappointed. I’ll never go there again!",Negative,0,-0.9369
81,Verified,2019- 2024,5.0,8/29/2024,"Easy access to major route, close by shopping, access to a preserve, beautiful pool and cookout area, gym that is pretty equipped and the staff is friendly and fully engaged in their job. Neighbours are friendly.",Positive,2,0.9606
82,Resident,2019- 2024,4.8,7/18/2024,Best Apartment complex to live in Maintenance request are alway completed in a timely manner and you lady in the front office is always so friend and helpful. The community is beautifully kept and the neighborhood is nice and quiet.,Positive,2,0.9576
83,Verified,2019- 2024,4.7,7/4/2024,"Overall it's a nice neighborhood, quiet, with families. The apartment is nice and I love the 10 ft ceilings. The vinyl flooring is great for me with my allergies not being bothered. I can run the AC cool with the great insulation. I feel valued as a resident with the rate increases, while hard to cope with, are still below market, so I feel that staying here is appreciated. Maintenance is quick to fix problems. Shane Morgan was the best manager that's been here. If I could change one thing, it would be the dishwasher. It's terrible. The top rack doesn't have enough clearance and the wash tower is inferior to a second dedicated spray arm for the upper rack, which most modern dishwashers come equipped with. As far as info I wish I knew when I moved in, a sign for the washing machine reading 'Tip: if you start the wash cycle with an empty tub, then the machine will fill to the max waterline.' When I first moved in, the machine didn't properly wash my comforter. The top remained bone dry and detergent was still sitting on top, clear indicators that the top of the comforter didn't get cleaned at all. After complaining, maintenance gave me this tip and now I can wash my comforters and am grateful for this tip every time I run the washing machine.",Positive,2,0.9921
84,Verified,2017 - 2019,4.7,6/29/2017,The office staff is amazing. Kate specifically is what sodas to this property. She was just so friendly and bubbly that she personally sold the apartment to me and my roommate. Move-in was easy and the amenities are also really nice. 10 out of 10 definitely recommend.,Positive,2,0.959
85,Verified,2019- 2024,5.0,6/15/2024,Great so far new in the apartment not much to comment. Move in was great and workers are great we do love the community and we love the gym our dog love her walks too and it's very quiet Kate in reception was great.,Positive,2,0.9849
86,Verified,2018 - 2024,4.8,5/31/2024,Love the area and is close to everything you'll need. It's very quiet and clean place. I love the pool area. My apartment is in front of the pond that has a water fountain that is very relaxing to hear on the porch.,Positive,2,0.9419
87,Verified,2018 - 2014,5.0,5/24/2024,It's been great!! Super easy process moving in and very helpful staff. The place is clean and welcoming. Things are up to date and modern. The property is clean and well maintained. There are two beautiful ponds to walk around and enjoy the outdoors in our own backyard.,Positive,2,0.985
88,Verified,2023 - 2024,5.0,5/18/2024,When using your phobkey to enter through the gate it would be nice to do the same when leaving for safety for your vehicle. For Delivery drivers put a sign up indicating to follow directions on kiosk to get in. Otherwise they don't deliver and claim they can't get in.,Positive,2,0.6808
89,Verified,2023 - 2024,4.8,5/14/2024,"Nice complex, great staff. Maintenance is always quick to reply. Everything here has been great. The neighborhood is very quiet. Gym has good equipment. I will stay here for a while I don't see myself moving anytime soon.",Positive,2,0.9313
90,Verified,2023 - 2024,5.0,5/14/2024,"Staff are very nice! The grounds are beautiful!! We enjoy the pool, gym and walking paths!! The pool is gorgeous!! The community is kept very clean and beautiful!! The staff is super responsive to needs.",Positive,2,0.9829
91,Verified,2022-2024,5.0,4/30/2024,"Beautiful community, well kept grounds, close to the airport, Clearwater, and the beaches. Located near the Westshore business district. Excellent maintenance staff. Professional and courteous office staff.",Positive,2,0.9186
92,Verified,2018- 2024,5.0,4/25/2024,"Very satisfied with community and current management team, would recommend to friends and family apartment is very comfortable any issues with appliances are always corrected in a timely fashion new manager Shane is doing a tremendous job.",Positive,2,0.9059
93,Verified,2021 - 2024,4.8,4/11/2024,The Sedona has been great overall for us the maintenance staff is always prompt to fix any issues. Facilities are clean and never crowded. The office staff is very helpful whenever a question comes up.,Positive,2,0.8718
94,Verified,2018 - 2024,5.0,3/21/2024,"Great, current staff is the best since I've been here. Always there to answer questions and make things happen. I feel the complex is best it's been since Shane arrived. Maintenance crew is fantastic and always does a great job.",Positive,2,0.969
95,Verified,2018-2024,4.8,2/20/2024,We stopped in without an appointment because we were traveling from NY. Laura welcomed us immediately and was eager to help and show us around the complex. Gorgeous grounds and beautiful units! Highly recommend.,Positive,2,0.9492
96,Verified,2018-2025,4.0,1/25/2024,"Great property layout. The apartments themselves were also spacious and looked well kept. The front office staff was welcoming and accommodating to our timeframe while touring. At the end of the tour, we did not feel pressured to sign a lease on the spot, instead we were presented with realistic options for our move in date and given floor plans to browse that would be available.",Positive,2,0.8679
97,Verified,2018-2025,4.2,12/9/2023,"Seems disorganized. Lock and mail key were not available at move in. Name still isn't in mailbox and on call box 2 weeks later. Staff are polite but don't follow thru promptly. Hallways are not always clean, tons of trash and stuff stacked in recycle area. Gates often left open and don't seem secure.",Negative,0,-0.722
98,Verified,2018-2025,5.0,11/30/2023,Have not moved in yet but love the vibe already. Kate has been a huge help. The entire complex community is pretty nice. I love the pool area and lobby as well very nice clean and updated. Media center and coffee area is awesome. Can't wait to begin my move in.,Positive,2,0.9929
99,Resident,2018 - 2019,4.7,10/10/2023,"We love it at the Sedona. Since we moved in one month ago, the team has been attentive and courteous. We love using the amenities on the property, especially the walking trail by the nature preserve. Everything is clean and well maintained, and nice shops are all close by. The rent is very affordable too.",Positive,2,0.9601
100,Verified,2018-2025,4.8,8/31/2023,"Overall, very happy with the situation here at The Sedona. While I understand, prices are rising universally it just seems a bit high, but overall satisfied and happy. Security at times, has been decidedly below expectations, but seems to be improving.",Positive,2,0.9611
101,Verified,2015 - 2018,5.0,8/24/2023,"I love The Sedona! My apartment is spacious and beautiful. The leasing office and maintenance staff are friendly and responsive. There are many amenities including pool, fitness center and tennis courts. I love walking around the beautiful lake.",Positive,2,0.9758
102,Verified,2018-2025,2.3,8/22/2023,"I regret moving here. Maintenance worker except Marco don't actually work. They are non responsive. There is a flood of water every morning from the sprinklers being on for hours. The office manager is a bully, it's sad to see that someone with that much incompetence is the manager.",Negative,0,-0.872
103,Verified,2018 - 2023,5.0,7/24/2023,"I came to 'The Sedona' most recently looking for a new apartment home in a newer community. I was greeted promptly by my Leasing Specialist, Jon Marante, who was super friendly, professional, and very knowledgeable about the community. Jon took me on a tour of the beautiful amenities and then showed me a model unit. I immediately fell in love with 'The Sedona'! A few days later I made my final decision and applied to my new apartment home, I was able to secure a top floor, corner unit with beautiful views! I am thrilled! My Leasing Specialist, Jon, called me today and informed me that I am approved and I will be moving in my new apartment home at 'The Sedona' during the first week of October! Jon Marante went above and beyond to help me every step of the way through the application process. Jon is the best! I highly recommend 'The Sedona' and I also highly recommend working with Jon! Thank you Jon for everything and I look forward to moving in my new home in early October!",Positive,2,0.9929
104,Verified,2021 - 2023,5.0,7/20/2023,"I am never the person to do a survey this early after moving. But, the Sedona deserves every good credit at first sight. I look around my living environment and all I can see is everything good happening moving forward. The Sedona is the place for me.",Positive,2,0.9022
105,Verified,2022-2025,5.0,8/23/2022,Totally appreciate the great staff here at The Sedona. Claudia is great and diligent. The staff tries to accommodate to residents' needs. Community activities for every season of the year. I absolutely recommend this apartment complex.,Positive,2,0.9384
106,Verified,2021 - 2023,4.5,7/11/2023,"The community is quiet, private, and safe. The maintenance crew is very good. The grounds are well kept. The apartment itself is very spacious and comfortable. The pool and gymnasium are nice as well.",Positive,2,0.9399
107,Verified,2021 - 2023,5.0,6/24/2023,"The staff was very nice, helpful, and accommodating, roomy unit, love the 24/7 gym, love the walkways and the lakes on the property, love the natural sunlight in the unit and how spacious it is, love the playground.",Positive,2,0.9787
108,Verified,2020 - 2023,3.2,6/20/2023,"The AC breaks down every other month, thankfully I have learned how to fix it on my own, however it's an ordeal. The refrigerator freezes up. The washer and dryer can only do very small loads and have broken down several times. 2 bedrooms do not have AC flow to them making them hot. The hot tub and grills are consistently broken. The office rarely answers the phone, although it seems to be improving in the last 6 months. The location is ideal and close to the airport and downtown. Safe neighborhood.",Positive,2,0.6808
109,Verified,2021 - 2023,5.0,6/8/2023,"It is a wonderful apartment complex, it is quiet, clean, the maintenance people are wonderful, attentive, the maintenance is fast, it is super quiet, and the security, the people in the office, even though they do not speak Spanish, try to help you and understand you. I am very happy to live here, I am almost two years old here and I hope to stay longer. I highly recommend it.",Positive,2,0.9814
110,Verified,2020 - 2023,4.3,5/30/2023,"The apartment complex is beautiful. The overall area is clean, and maintenance is great. The leasing staff are extremely friendly and helped me through everything during my leasing process. I was looking for a complex that was quiet and this is the perfect area. Not too much is around when looking for food and entertainment. However, you do not have to drive far to reach downtown Tampa.",Positive,2,0.9674
111,Verified,2022-2025,5.0,4/27/2023,"The Sedona is a beautifully well maintained community with great amenities, awesome pool clubhouse playground area. We have a dog park, car wash area, lake view. Maintenance staff is quick and office team is very responsive. Close to everything in the neighborhood.",Positive,2,0.9501
112,Verified,2013 - 2023,5.0,4/20/2023,Good job! This time is amazing. We have always been well attended and all questions are well resolved. The condominium is clean and is always new. My family and I are very satisfied! God bless you!,Positive,2,0.9709
113,Verified,2020 - 2023,4.3,4/18/2023,"The location is excellent. In general, it is well-kept. At some point, there were neighbors not keeping their area tidy. But it did not last a year, so I assume that some action was taken. The current staff is friendly, the previous was friendlier.",Positive,2,0.8922
114,Verified,2020 - 2023,5.0,4/11/2023,"The new property management staff onsite is wonderful, friendly, and very approachable. They also have a knowledgeable maintenance team. They are very good at responding to work orders in a timely fashion and resolving our issues accordingly. I will definitely renew my lease and would like to stay here for a while. The apartments are spacious, and the common areas are always clean. Love the resort-style pool area with cabanas you can rent for the day! They also have a great half a mile loop for exercising around the lake in the back by the tennis courts. Love this place!",Positive,2,0.9869
115,Verified,2016 - 2023,5.0,3/14/2023,Great. Kate was awesome and walked me through the process in a simple way. I can recommend this place to anyone to live. Maintenance guys are extremely servicial and everybody is always open to give you solutions to any problems.,Positive,2,0.8658
116,Verified,2020 - 2023,5.0,3/2/2023,"When I was shown the apartment, I was expecting it to not look anything I saw on the website. To my surprise, it was even better. Not to mention the beautifully kept amenities and clubhouse, I feel like I'm home now!",Positive,2,0.8883
117,Verified,2022-2025,5.0,2/7/2023,Our move-in process was seamless. The property management staff were helpful and very knowledgeable. Anytime we stopped by the office with a question they greeted us always by name. We are very happy to have chosen the Sedona Apartments.,Positive,2,0.7902
118,Verified,2019 - 2023,4.8,2/1/2023,"I have enjoyed living here the past three years. Staff is courteous, professional and quick to resolve any tickets submitted for issues. The community is kept clean and there are several areas with dog post stations. The office provides communication via email and/or text including some community events to engage with neighbors.",Positive,2,0.9231
119,Verified,2017 - 2023,2.5,1/10/2023,"The community is good, but the office staff are not very professional. They don't communicate back and forth, they don't answer the phone, and they take extra out of your banking account when you're paying your rent. They are just not communicative with their community; it feels like they are only working for themselves, which is a problem.",Positive,2,0.1655
120,Verified,2020 - 2023,4.2,1/5/2023,Too many renters do not clean up after their dogs. The sprinklers flood the grassy areas. There is a lot of mud. The breezeways are not being power washed enough. Some renters do not observe quiet hours after 11 PM.,Negative,0,-0.3089
121,Verified,2016-2025,3.2,12/27/2022,None not at all fine right it is fine the Place is just fine it is place to Be Park lot not to walk or park way fast mail at any time why no in box no paint gates open to d slow or stay open why this orthzt Safe.,Negative,0,-0.5067
122,Verified,2016-2025,5.0,12/14/2022,From the first time I visited the office at this community the customer service has been outstanding. The staff is knowledgeable and genuinely care about the residents. The amenities are top tier and the grounds are immaculate. I highly recommend living in this community.,Positive,2,0.8955
123,Verified,2021-2023,3.5,11/29/2022,Rents are too high. Should consider lowering. Also should consider painting the inside of the apartments which are in dire need of painting. Breezeways need to be cleaned. Back stairs are very dirty. No one sees them because they face the back.,Negative,0,-0.8648
124,Verified,2016-2025,4.8,11/4/2022,I have had good experiences since my husband and I moved in to the Sedona Community two years ago. My only bad experience was the unexpected loss of my husband before we were here two years. The office staff were very kind and understanding and have been very supportive. It is however disappointing to see the turnover in the office staff as well as managers. It's difficult to establish a good rapport when they come and go. The maintenance department has experienced the same turnover however it is a pleasure to have some continuity with Pasquale and Marcus. The grounds are well maintained now with the new landscaping vendor however it's the tenants who litter and let their dogs go all over the sidewalks and grass. Constant memos and emails appear to have little effect. Some people just don't follow rules. I like my apartment and the convenience to stores and activities. Wish others were just as appreciative!,Positive,2,0.9164
